2017-12-15 19:59:13,097, DEBUG, Start reading formatted input
2017-12-15 19:59:14,218, DEBUG, End reading formatted input
------------------------------------------------------------------------
2017-12-15 19:59:14,220, DEBUG, Start RNN training master
2017-12-15 19:59:15,686, DEBUG, exp id, 0, Start RNN worker
2017-12-15 19:59:15,719, DEBUG, exp id, 1, Start RNN worker
2017-12-15 19:59:15,761, DEBUG, exp id, 2, Start RNN worker
2017-12-15 19:59:15,849, DEBUG, exp id, 3, Start RNN worker
2017-12-15 19:59:15,950, DEBUG, exp id, 4, Start RNN worker
2017-12-15 19:59:52,764, DEBUG, exp id, 1, Step, 1, Minibatch Loss, 3.02779, Training Accuracy, 0.10938
2017-12-15 19:59:58,541, DEBUG, exp id, 0, Step, 1, Minibatch Loss, 3.27008, Training Accuracy, 0.18750
2017-12-15 20:00:01,029, DEBUG, exp id, 4, Step, 1, Minibatch Loss, 7.79822, Training Accuracy, 0.12500
2017-12-15 20:00:05,117, DEBUG, exp id, 2, Step, 1, Minibatch Loss, 3.40582, Training Accuracy, 0.21875
2017-12-15 20:00:05,119, DEBUG, exp id, 3, Step, 1, Minibatch Loss, 3.39578, Training Accuracy, 0.20312
2017-12-15 20:00:24,842, DEBUG, exp id, 1, Step, 200, Minibatch Loss, 2.62018, Training Accuracy, 0.14062
2017-12-15 20:00:32,719, DEBUG, exp id, 0, Step, 200, Minibatch Loss, 2.47475, Training Accuracy, 0.31250
2017-12-15 20:00:36,217, DEBUG, exp id, 4, Step, 200, Minibatch Loss, 2.57537, Training Accuracy, 0.18750
2017-12-15 20:00:41,518, DEBUG, exp id, 3, Step, 200, Minibatch Loss, 2.06451, Training Accuracy, 0.32812
2017-12-15 20:00:41,541, DEBUG, exp id, 2, Step, 200, Minibatch Loss, 1.75683, Training Accuracy, 0.28125
2017-12-15 20:01:02,138, DEBUG, exp id, 1, Step, 400, Minibatch Loss, 2.56833, Training Accuracy, 0.18750
2017-12-15 20:01:09,631, DEBUG, exp id, 0, Step, 400, Minibatch Loss, 2.77806, Training Accuracy, 0.21875
2017-12-15 20:01:12,729, DEBUG, exp id, 4, Step, 400, Minibatch Loss, 1.60766, Training Accuracy, 0.31250
2017-12-15 20:01:18,037, DEBUG, exp id, 3, Step, 400, Minibatch Loss, 1.73754, Training Accuracy, 0.39062
2017-12-15 20:01:19,120, DEBUG, exp id, 2, Step, 400, Minibatch Loss, 1.83461, Training Accuracy, 0.21875
2017-12-15 20:01:39,240, DEBUG, exp id, 1, Step, 600, Minibatch Loss, 2.34738, Training Accuracy, 0.20312
2017-12-15 20:01:46,239, DEBUG, exp id, 0, Step, 600, Minibatch Loss, 2.19017, Training Accuracy, 0.37500
2017-12-15 20:01:48,536, DEBUG, exp id, 4, Step, 600, Minibatch Loss, 1.67758, Training Accuracy, 0.34375
2017-12-15 20:01:55,041, DEBUG, exp id, 3, Step, 600, Minibatch Loss, 1.68324, Training Accuracy, 0.26562
2017-12-15 20:01:55,346, DEBUG, exp id, 2, Step, 600, Minibatch Loss, 1.48295, Training Accuracy, 0.37500
2017-12-15 20:02:17,136, DEBUG, exp id, 1, Step, 800, Minibatch Loss, 2.05171, Training Accuracy, 0.25000
2017-12-15 20:02:21,940, DEBUG, exp id, 0, Step, 800, Minibatch Loss, 2.52857, Training Accuracy, 0.28125
2017-12-15 20:02:23,717, DEBUG, exp id, 4, Step, 800, Minibatch Loss, 1.62156, Training Accuracy, 0.46875
2017-12-15 20:02:32,048, DEBUG, exp id, 3, Step, 800, Minibatch Loss, 1.53911, Training Accuracy, 0.46875
2017-12-15 20:02:32,351, DEBUG, exp id, 2, Step, 800, Minibatch Loss, 1.59177, Training Accuracy, 0.46875
2017-12-15 20:02:54,351, DEBUG, exp id, 1, Step, 1000, Minibatch Loss, 1.92802, Training Accuracy, 0.28125
2017-12-15 20:02:58,718, DEBUG, exp id, 0, Step, 1000, Minibatch Loss, 1.97079, Training Accuracy, 0.31250
2017-12-15 20:02:59,924, DEBUG, exp id, 4, Step, 1000, Minibatch Loss, 1.39683, Training Accuracy, 0.59375
2017-12-15 20:03:08,251, DEBUG, exp id, 3, Step, 1000, Minibatch Loss, 1.35506, Training Accuracy, 0.46875
2017-12-15 20:03:09,229, DEBUG, exp id, 2, Step, 1000, Minibatch Loss, 1.45486, Training Accuracy, 0.34375
2017-12-15 20:03:31,630, DEBUG, exp id, 1, Step, 1200, Minibatch Loss, 2.00064, Training Accuracy, 0.21875
2017-12-15 20:03:35,639, DEBUG, exp id, 0, Step, 1200, Minibatch Loss, 1.84072, Training Accuracy, 0.34375
2017-12-15 20:03:36,424, DEBUG, exp id, 4, Step, 1200, Minibatch Loss, 1.56281, Training Accuracy, 0.46875
2017-12-15 20:03:45,139, DEBUG, exp id, 3, Step, 1200, Minibatch Loss, 1.18752, Training Accuracy, 0.57812
2017-12-15 20:03:46,953, DEBUG, exp id, 2, Step, 1200, Minibatch Loss, 1.56339, Training Accuracy, 0.43750
2017-12-15 20:04:09,019, DEBUG, exp id, 1, Step, 1400, Minibatch Loss, 1.59090, Training Accuracy, 0.32812
2017-12-15 20:04:12,040, DEBUG, exp id, 4, Step, 1400, Minibatch Loss, 1.39336, Training Accuracy, 0.46875
2017-12-15 20:04:12,345, DEBUG, exp id, 0, Step, 1400, Minibatch Loss, 1.54679, Training Accuracy, 0.31250
2017-12-15 20:04:21,926, DEBUG, exp id, 3, Step, 1400, Minibatch Loss, 1.20913, Training Accuracy, 0.64062
2017-12-15 20:04:24,034, DEBUG, exp id, 2, Step, 1400, Minibatch Loss, 1.24654, Training Accuracy, 0.46875
2017-12-15 20:04:46,751, DEBUG, exp id, 1, Step, 1600, Minibatch Loss, 1.59785, Training Accuracy, 0.32812
2017-12-15 20:04:48,044, DEBUG, exp id, 4, Step, 1600, Minibatch Loss, 1.28138, Training Accuracy, 0.40625
2017-12-15 20:04:49,429, DEBUG, exp id, 0, Step, 1600, Minibatch Loss, 1.23127, Training Accuracy, 0.62500
2017-12-15 20:04:58,447, DEBUG, exp id, 3, Step, 1600, Minibatch Loss, 1.09358, Training Accuracy, 0.57812
2017-12-15 20:05:01,144, DEBUG, exp id, 2, Step, 1600, Minibatch Loss, 1.39690, Training Accuracy, 0.46875
2017-12-15 20:05:24,338, DEBUG, exp id, 4, Step, 1800, Minibatch Loss, 1.13785, Training Accuracy, 0.59375
2017-12-15 20:05:24,431, DEBUG, exp id, 1, Step, 1800, Minibatch Loss, 1.49449, Training Accuracy, 0.28125
2017-12-15 20:05:26,132, DEBUG, exp id, 0, Step, 1800, Minibatch Loss, 1.50488, Training Accuracy, 0.46875
2017-12-15 20:05:35,130, DEBUG, exp id, 3, Step, 1800, Minibatch Loss, 1.30373, Training Accuracy, 0.56250
2017-12-15 20:05:37,334, DEBUG, exp id, 2, Step, 1800, Minibatch Loss, 1.39947, Training Accuracy, 0.50000
2017-12-15 20:05:59,725, DEBUG, exp id, 4, Step, 2000, Minibatch Loss, 1.14430, Training Accuracy, 0.75000
2017-12-15 20:06:02,016, DEBUG, exp id, 0, Step, 2000, Minibatch Loss, 1.41608, Training Accuracy, 0.50000
2017-12-15 20:06:02,025, DEBUG, exp id, 1, Step, 2000, Minibatch Loss, 1.48549, Training Accuracy, 0.35938
2017-12-15 20:06:13,147, DEBUG, exp id, 3, Step, 2000, Minibatch Loss, 1.24852, Training Accuracy, 0.53125
2017-12-15 20:06:13,445, DEBUG, exp id, 2, Step, 2000, Minibatch Loss, 1.51823, Training Accuracy, 0.46875
2017-12-15 20:06:36,336, DEBUG, exp id, 4, Step, 2200, Minibatch Loss, 1.12997, Training Accuracy, 0.56250
2017-12-15 20:06:39,039, DEBUG, exp id, 0, Step, 2200, Minibatch Loss, 1.33510, Training Accuracy, 0.43750
2017-12-15 20:06:39,134, DEBUG, exp id, 1, Step, 2200, Minibatch Loss, 1.23105, Training Accuracy, 0.46875
2017-12-15 20:06:49,535, DEBUG, exp id, 3, Step, 2200, Minibatch Loss, 1.07751, Training Accuracy, 0.62500
2017-12-15 20:06:50,048, DEBUG, exp id, 2, Step, 2200, Minibatch Loss, 1.24398, Training Accuracy, 0.59375
2017-12-15 20:07:12,953, DEBUG, exp id, 4, Step, 2400, Minibatch Loss, 1.04164, Training Accuracy, 0.50000
2017-12-15 20:07:15,148, DEBUG, exp id, 0, Step, 2400, Minibatch Loss, 1.64610, Training Accuracy, 0.34375
2017-12-15 20:07:17,151, DEBUG, exp id, 1, Step, 2400, Minibatch Loss, 1.48868, Training Accuracy, 0.46875
2017-12-15 20:07:26,538, DEBUG, exp id, 2, Step, 2400, Minibatch Loss, 1.45422, Training Accuracy, 0.43750
2017-12-15 20:07:26,937, DEBUG, exp id, 3, Step, 2400, Minibatch Loss, 1.03439, Training Accuracy, 0.62500
2017-12-15 20:07:49,846, DEBUG, exp id, 4, Step, 2600, Minibatch Loss, 1.08146, Training Accuracy, 0.50000
2017-12-15 20:07:51,321, DEBUG, exp id, 0, Step, 2600, Minibatch Loss, 1.14378, Training Accuracy, 0.62500
2017-12-15 20:07:55,132, DEBUG, exp id, 1, Step, 2600, Minibatch Loss, 1.21635, Training Accuracy, 0.50000
2017-12-15 20:08:02,522, DEBUG, exp id, 2, Step, 2600, Minibatch Loss, 1.14931, Training Accuracy, 0.50000
2017-12-15 20:08:03,032, DEBUG, exp id, 3, Step, 2600, Minibatch Loss, 1.09374, Training Accuracy, 0.56250
2017-12-15 20:08:26,150, DEBUG, exp id, 4, Step, 2800, Minibatch Loss, 1.26710, Training Accuracy, 0.50000
2017-12-15 20:08:28,041, DEBUG, exp id, 0, Step, 2800, Minibatch Loss, 1.11756, Training Accuracy, 0.53125
2017-12-15 20:08:32,436, DEBUG, exp id, 1, Step, 2800, Minibatch Loss, 1.31211, Training Accuracy, 0.43750
2017-12-15 20:08:38,952, DEBUG, exp id, 2, Step, 2800, Minibatch Loss, 0.85023, Training Accuracy, 0.81250
2017-12-15 20:08:39,340, DEBUG, exp id, 3, Step, 2800, Minibatch Loss, 1.00361, Training Accuracy, 0.60938
2017-12-15 20:09:03,227, DEBUG, exp id, 4, Step, 3000, Minibatch Loss, 1.05781, Training Accuracy, 0.46875
2017-12-15 20:09:04,339, DEBUG, exp id, 0, Step, 3000, Minibatch Loss, 1.21244, Training Accuracy, 0.53125
2017-12-15 20:09:09,846, DEBUG, exp id, 1, Step, 3000, Minibatch Loss, 1.36262, Training Accuracy, 0.45312
2017-12-15 20:09:15,426, DEBUG, exp id, 3, Step, 3000, Minibatch Loss, 1.08121, Training Accuracy, 0.59375
2017-12-15 20:09:15,736, DEBUG, exp id, 2, Step, 3000, Minibatch Loss, 1.00076, Training Accuracy, 0.65625
2017-12-15 20:09:39,320, DEBUG, exp id, 4, Step, 3200, Minibatch Loss, 1.03788, Training Accuracy, 0.59375
2017-12-15 20:09:40,837, DEBUG, exp id, 0, Step, 3200, Minibatch Loss, 1.33818, Training Accuracy, 0.40625
2017-12-15 20:09:47,939, DEBUG, exp id, 1, Step, 3200, Minibatch Loss, 1.47036, Training Accuracy, 0.43750
2017-12-15 20:09:52,324, DEBUG, exp id, 3, Step, 3200, Minibatch Loss, 1.05829, Training Accuracy, 0.70312
2017-12-15 20:09:52,426, DEBUG, exp id, 2, Step, 3200, Minibatch Loss, 1.14696, Training Accuracy, 0.56250
2017-12-15 20:10:15,847, DEBUG, exp id, 4, Step, 3400, Minibatch Loss, 0.89787, Training Accuracy, 0.71875
2017-12-15 20:10:18,039, DEBUG, exp id, 0, Step, 3400, Minibatch Loss, 1.59701, Training Accuracy, 0.43750
2017-12-15 20:10:26,131, DEBUG, exp id, 1, Step, 3400, Minibatch Loss, 1.11506, Training Accuracy, 0.53125
