2017-12-15 21:13:13,737, DEBUG, Start reading formatted input
2017-12-15 21:13:17,137, DEBUG, End reading formatted input
------------------------------------------------------------------------
2017-12-15 21:13:17,140, DEBUG, Start RNN training master
2017-12-15 21:13:20,457, DEBUG, exp id, 0, Start RNN worker
2017-12-15 21:13:20,624, DEBUG, exp id, 1, Start RNN worker
2017-12-15 21:13:20,740, DEBUG, exp id, 2, Start RNN worker
2017-12-15 21:13:20,934, DEBUG, exp id, 3, Start RNN worker
2017-12-15 21:13:21,135, DEBUG, exp id, 4, Start RNN worker
2017-12-15 21:13:21,338, DEBUG, exp id, 5, Start RNN worker
2017-12-15 21:13:21,626, DEBUG, exp id, 6, Start RNN worker
2017-12-15 21:13:21,922, DEBUG, exp id, 7, Start RNN worker
2017-12-15 21:15:34,628, DEBUG, exp id, 7, Step, 1, Minibatch Loss, 4.92712, Training Accuracy, 0.25000
2017-12-15 21:15:37,830, DEBUG, exp id, 4, Step, 1, Minibatch Loss, 3.15256, Training Accuracy, 0.31250
2017-12-15 21:15:38,333, DEBUG, exp id, 1, Step, 1, Minibatch Loss, 3.77194, Training Accuracy, 0.23438
2017-12-15 21:15:39,819, DEBUG, exp id, 3, Step, 1, Minibatch Loss, 2.72622, Training Accuracy, 0.28125
2017-12-15 21:15:40,519, DEBUG, exp id, 2, Step, 1, Minibatch Loss, 3.79952, Training Accuracy, 0.18750
2017-12-15 21:15:41,618, DEBUG, exp id, 6, Step, 1, Minibatch Loss, 2.73931, Training Accuracy, 0.28125
2017-12-15 21:15:42,023, DEBUG, exp id, 0, Step, 1, Minibatch Loss, 3.88678, Training Accuracy, 0.06250
2017-12-15 21:15:43,319, DEBUG, exp id, 5, Step, 1, Minibatch Loss, 4.38182, Training Accuracy, 0.23438
2017-12-15 21:17:16,517, DEBUG, exp id, 7, Step, 200, Minibatch Loss, 1.40757, Training Accuracy, 0.51562
2017-12-15 21:17:17,716, DEBUG, exp id, 2, Step, 200, Minibatch Loss, 1.94002, Training Accuracy, 0.37500
2017-12-15 21:17:18,122, DEBUG, exp id, 3, Step, 200, Minibatch Loss, 2.59326, Training Accuracy, 0.31250
2017-12-15 21:17:18,917, DEBUG, exp id, 1, Step, 200, Minibatch Loss, 2.75526, Training Accuracy, 0.21875
2017-12-15 21:17:21,017, DEBUG, exp id, 6, Step, 200, Minibatch Loss, 1.98532, Training Accuracy, 0.31250
2017-12-15 21:17:21,117, DEBUG, exp id, 4, Step, 200, Minibatch Loss, 2.68681, Training Accuracy, 0.37500
2017-12-15 21:17:22,317, DEBUG, exp id, 5, Step, 200, Minibatch Loss, 2.20659, Training Accuracy, 0.28125
2017-12-15 21:17:25,417, DEBUG, exp id, 0, Step, 200, Minibatch Loss, 2.22372, Training Accuracy, 0.43750
2017-12-15 21:18:52,124, DEBUG, exp id, 2, Step, 400, Minibatch Loss, 1.51377, Training Accuracy, 0.40625
2017-12-15 21:18:54,731, DEBUG, exp id, 6, Step, 400, Minibatch Loss, 1.18312, Training Accuracy, 0.46875
2017-12-15 21:18:56,723, DEBUG, exp id, 5, Step, 400, Minibatch Loss, 1.83017, Training Accuracy, 0.42188
2017-12-15 21:18:56,724, DEBUG, exp id, 3, Step, 400, Minibatch Loss, 2.35650, Training Accuracy, 0.21875
2017-12-15 21:19:01,317, DEBUG, exp id, 7, Step, 400, Minibatch Loss, 1.04942, Training Accuracy, 0.60938
2017-12-15 21:19:01,417, DEBUG, exp id, 4, Step, 400, Minibatch Loss, 1.54057, Training Accuracy, 0.59375
2017-12-15 21:19:03,429, DEBUG, exp id, 1, Step, 400, Minibatch Loss, 2.27618, Training Accuracy, 0.23438
2017-12-15 21:19:07,424, DEBUG, exp id, 0, Step, 400, Minibatch Loss, 1.84944, Training Accuracy, 0.37500
2017-12-15 21:20:23,319, DEBUG, exp id, 2, Step, 600, Minibatch Loss, 1.60394, Training Accuracy, 0.46875
2017-12-15 21:20:28,225, DEBUG, exp id, 6, Step, 600, Minibatch Loss, 0.88094, Training Accuracy, 0.68750
2017-12-15 21:20:34,527, DEBUG, exp id, 5, Step, 600, Minibatch Loss, 1.77533, Training Accuracy, 0.34375
2017-12-15 21:20:39,617, DEBUG, exp id, 3, Step, 600, Minibatch Loss, 1.76889, Training Accuracy, 0.37500
2017-12-15 21:20:42,732, DEBUG, exp id, 4, Step, 600, Minibatch Loss, 2.20264, Training Accuracy, 0.31250
2017-12-15 21:20:45,324, DEBUG, exp id, 7, Step, 600, Minibatch Loss, 1.12453, Training Accuracy, 0.59375
2017-12-15 21:20:47,529, DEBUG, exp id, 0, Step, 600, Minibatch Loss, 2.16697, Training Accuracy, 0.31250
2017-12-15 21:20:49,824, DEBUG, exp id, 1, Step, 600, Minibatch Loss, 2.06450, Training Accuracy, 0.23438
2017-12-15 21:21:58,827, DEBUG, exp id, 2, Step, 800, Minibatch Loss, 1.40279, Training Accuracy, 0.37500
2017-12-15 21:22:02,526, DEBUG, exp id, 6, Step, 800, Minibatch Loss, 0.85282, Training Accuracy, 0.62500
2017-12-15 21:22:10,328, DEBUG, exp id, 5, Step, 800, Minibatch Loss, 1.37602, Training Accuracy, 0.50000
2017-12-15 21:22:25,228, DEBUG, exp id, 4, Step, 800, Minibatch Loss, 1.33300, Training Accuracy, 0.46875
2017-12-15 21:22:26,519, DEBUG, exp id, 3, Step, 800, Minibatch Loss, 1.62239, Training Accuracy, 0.35938
2017-12-15 21:22:26,632, DEBUG, exp id, 7, Step, 800, Minibatch Loss, 1.02028, Training Accuracy, 0.54688
2017-12-15 21:22:30,631, DEBUG, exp id, 0, Step, 800, Minibatch Loss, 1.82930, Training Accuracy, 0.43750
2017-12-15 21:22:35,820, DEBUG, exp id, 1, Step, 800, Minibatch Loss, 1.91833, Training Accuracy, 0.42188
2017-12-15 21:23:35,217, DEBUG, exp id, 2, Step, 1000, Minibatch Loss, 1.34657, Training Accuracy, 0.40625
2017-12-15 21:23:37,217, DEBUG, exp id, 6, Step, 1000, Minibatch Loss, 0.92772, Training Accuracy, 0.62500
2017-12-15 21:23:44,917, DEBUG, exp id, 5, Step, 1000, Minibatch Loss, 1.14776, Training Accuracy, 0.57812
2017-12-15 21:24:07,822, DEBUG, exp id, 7, Step, 1000, Minibatch Loss, 1.03409, Training Accuracy, 0.60938
2017-12-15 21:24:09,829, DEBUG, exp id, 4, Step, 1000, Minibatch Loss, 1.40711, Training Accuracy, 0.50000
2017-12-15 21:24:11,628, DEBUG, exp id, 3, Step, 1000, Minibatch Loss, 1.65149, Training Accuracy, 0.32812
2017-12-15 21:24:13,117, DEBUG, exp id, 0, Step, 1000, Minibatch Loss, 1.83234, Training Accuracy, 0.37500
2017-12-15 21:24:22,221, DEBUG, exp id, 1, Step, 1000, Minibatch Loss, 1.96012, Training Accuracy, 0.25000
2017-12-15 21:25:12,017, DEBUG, exp id, 6, Step, 1200, Minibatch Loss, 0.76631, Training Accuracy, 0.81250
2017-12-15 21:25:12,726, DEBUG, exp id, 2, Step, 1200, Minibatch Loss, 1.18230, Training Accuracy, 0.46875
2017-12-15 21:25:20,817, DEBUG, exp id, 5, Step, 1200, Minibatch Loss, 1.25923, Training Accuracy, 0.42188
2017-12-15 21:25:46,023, DEBUG, exp id, 7, Step, 1200, Minibatch Loss, 1.17202, Training Accuracy, 0.62500
2017-12-15 21:25:50,829, DEBUG, exp id, 4, Step, 1200, Minibatch Loss, 1.30425, Training Accuracy, 0.56250
2017-12-15 21:25:56,231, DEBUG, exp id, 0, Step, 1200, Minibatch Loss, 1.78995, Training Accuracy, 0.31250
2017-12-15 21:25:58,928, DEBUG, exp id, 3, Step, 1200, Minibatch Loss, 1.57612, Training Accuracy, 0.45312
2017-12-15 21:26:07,430, DEBUG, exp id, 1, Step, 1200, Minibatch Loss, 1.59782, Training Accuracy, 0.50000
2017-12-15 21:26:50,130, DEBUG, exp id, 2, Step, 1400, Minibatch Loss, 1.39061, Training Accuracy, 0.34375
2017-12-15 21:26:50,417, DEBUG, exp id, 6, Step, 1400, Minibatch Loss, 1.12953, Training Accuracy, 0.59375
2017-12-15 21:26:58,816, DEBUG, exp id, 5, Step, 1400, Minibatch Loss, 1.13203, Training Accuracy, 0.45312
2017-12-15 21:27:24,817, DEBUG, exp id, 7, Step, 1400, Minibatch Loss, 1.05835, Training Accuracy, 0.65625
2017-12-15 21:27:32,629, DEBUG, exp id, 4, Step, 1400, Minibatch Loss, 1.53873, Training Accuracy, 0.40625
2017-12-15 21:27:37,428, DEBUG, exp id, 0, Step, 1400, Minibatch Loss, 1.37011, Training Accuracy, 0.50000
2017-12-15 21:27:40,417, DEBUG, exp id, 3, Step, 1400, Minibatch Loss, 1.66751, Training Accuracy, 0.34375
2017-12-15 21:27:49,329, DEBUG, exp id, 1, Step, 1400, Minibatch Loss, 1.70938, Training Accuracy, 0.29688
2017-12-15 21:28:26,129, DEBUG, exp id, 2, Step, 1600, Minibatch Loss, 1.31819, Training Accuracy, 0.37500
2017-12-15 21:28:27,319, DEBUG, exp id, 6, Step, 1600, Minibatch Loss, 0.99072, Training Accuracy, 0.75000
2017-12-15 21:28:35,927, DEBUG, exp id, 5, Step, 1600, Minibatch Loss, 1.09781, Training Accuracy, 0.62500
2017-12-15 21:29:03,027, DEBUG, exp id, 7, Step, 1600, Minibatch Loss, 1.02094, Training Accuracy, 0.62500
2017-12-15 21:29:15,428, DEBUG, exp id, 4, Step, 1600, Minibatch Loss, 1.12494, Training Accuracy, 0.53125
2017-12-15 21:29:20,229, DEBUG, exp id, 0, Step, 1600, Minibatch Loss, 1.81585, Training Accuracy, 0.28125
2017-12-15 21:29:28,830, DEBUG, exp id, 3, Step, 1600, Minibatch Loss, 1.21081, Training Accuracy, 0.40625
2017-12-15 21:29:37,224, DEBUG, exp id, 1, Step, 1600, Minibatch Loss, 1.54069, Training Accuracy, 0.42188
2017-12-15 21:30:01,518, DEBUG, exp id, 2, Step, 1800, Minibatch Loss, 1.20332, Training Accuracy, 0.43750
2017-12-15 21:30:05,129, DEBUG, exp id, 6, Step, 1800, Minibatch Loss, 1.11306, Training Accuracy, 0.62500
