2017-12-15 22:22:42,372, DEBUG, Start reading formatted input
2017-12-15 22:22:43,499, DEBUG, End reading formatted input
------------------------------------------------------------------------
2017-12-15 22:22:43,500, DEBUG, Start RNN training master
2017-12-15 22:22:44,970, DEBUG, exp id, 0, Start RNN worker
2017-12-15 22:22:58,362, DEBUG, exp id, 0, Step, 1, Minibatch Loss, 3.17051, Training Accuracy, 0.15625
2017-12-15 22:23:06,319, DEBUG, exp id, 0, Step, 200, Minibatch Loss, 0.93297, Training Accuracy, 0.64062
2017-12-15 22:23:14,578, DEBUG, exp id, 0, Step, 400, Minibatch Loss, 0.76012, Training Accuracy, 0.65625
2017-12-15 22:23:22,606, DEBUG, exp id, 0, Step, 600, Minibatch Loss, 0.77918, Training Accuracy, 0.78125
2017-12-15 22:23:30,501, DEBUG, exp id, 0, Step, 800, Minibatch Loss, 0.76993, Training Accuracy, 0.75000
2017-12-15 22:23:38,703, DEBUG, exp id, 0, Step, 1000, Minibatch Loss, 0.69052, Training Accuracy, 0.70312
2017-12-15 22:23:47,369, DEBUG, exp id, 0, Step, 1200, Minibatch Loss, 0.60477, Training Accuracy, 0.79688
2017-12-15 22:23:55,604, DEBUG, exp id, 0, Step, 1400, Minibatch Loss, 0.68057, Training Accuracy, 0.71875
2017-12-15 22:24:03,937, DEBUG, exp id, 0, Step, 1600, Minibatch Loss, 0.71125, Training Accuracy, 0.75000
2017-12-15 22:24:11,992, DEBUG, exp id, 0, Step, 1800, Minibatch Loss, 0.65461, Training Accuracy, 0.81250
2017-12-15 22:24:20,026, DEBUG, exp id, 0, Step, 2000, Minibatch Loss, 0.66779, Training Accuracy, 0.79688
2017-12-15 22:24:28,199, DEBUG, exp id, 0, Step, 2200, Minibatch Loss, 0.44484, Training Accuracy, 0.85938
2017-12-15 22:24:36,638, DEBUG, exp id, 0, Step, 2400, Minibatch Loss, 0.35939, Training Accuracy, 0.93750
2017-12-15 22:24:44,885, DEBUG, exp id, 0, Step, 2600, Minibatch Loss, 0.40013, Training Accuracy, 0.87500
2017-12-15 22:24:52,633, DEBUG, exp id, 0, Step, 2800, Minibatch Loss, 0.40577, Training Accuracy, 0.90625
2017-12-15 22:25:00,580, DEBUG, exp id, 0, Step, 3000, Minibatch Loss, 0.57495, Training Accuracy, 0.70312
2017-12-15 22:25:08,164, DEBUG, exp id, 0, Step, 3200, Minibatch Loss, 0.50766, Training Accuracy, 0.81250
2017-12-15 22:25:16,482, DEBUG, exp id, 0, Step, 3400, Minibatch Loss, 0.52383, Training Accuracy, 0.79688
2017-12-15 22:25:24,836, DEBUG, exp id, 0, Step, 3600, Minibatch Loss, 0.44702, Training Accuracy, 0.82812
2017-12-15 22:25:32,591, DEBUG, exp id, 0, Step, 3800, Minibatch Loss, 0.35641, Training Accuracy, 0.90625
2017-12-15 22:25:40,016, DEBUG, exp id, 0, Step, 4000, Minibatch Loss, 0.45019, Training Accuracy, 0.84375
2017-12-15 22:25:47,721, DEBUG, exp id, 0, Step, 4200, Minibatch Loss, 0.36451, Training Accuracy, 0.89062
2017-12-15 22:25:55,906, DEBUG, exp id, 0, Step, 4400, Minibatch Loss, 0.31820, Training Accuracy, 0.89062
2017-12-15 22:26:03,618, DEBUG, exp id, 0, Step, 4600, Minibatch Loss, 0.52617, Training Accuracy, 0.82812
2017-12-15 22:26:10,947, DEBUG, exp id, 0, Step, 4800, Minibatch Loss, 0.41416, Training Accuracy, 0.89062
2017-12-15 22:26:19,052, DEBUG, exp id, 0, Step, 5000, Minibatch Loss, 0.36014, Training Accuracy, 0.84375
2017-12-15 22:26:27,881, DEBUG, exp id, 0, Step, 5200, Minibatch Loss, 0.52545, Training Accuracy, 0.81250
2017-12-15 22:26:35,297, DEBUG, exp id, 0, Step, 5400, Minibatch Loss, 0.29719, Training Accuracy, 0.89062
