2017-12-15 22:54:04,131, DEBUG, Start reading formatted input
2017-12-15 22:54:05,148, DEBUG, End reading formatted input
------------------------------------------------------------------------
2017-12-15 22:54:05,149, DEBUG, Start RNN training master
2017-12-15 22:54:06,681, DEBUG, exp id, 0, Start RNN worker
2017-12-15 22:54:06,709, DEBUG, exp id, 1, Start RNN worker
2017-12-15 22:54:06,745, DEBUG, exp id, 2, Start RNN worker
2017-12-15 22:54:06,777, DEBUG, exp id, 3, Start RNN worker
2017-12-15 22:54:06,928, DEBUG, exp id, 4, Start RNN worker
2017-12-15 22:54:07,032, DEBUG, exp id, 5, Start RNN worker
2017-12-15 22:54:07,150, DEBUG, exp id, 6, Start RNN worker
2017-12-15 22:54:07,340, DEBUG, exp id, 7, Start RNN worker
2017-12-15 22:54:07,540, DEBUG, exp id, 8, Start RNN worker
2017-12-15 22:54:07,742, DEBUG, exp id, 9, Start RNN worker
2017-12-15 22:55:39,941, DEBUG, exp id, 6, Step, 1, Minibatch Loss, 3.70231, Training Accuracy, 0.19531
2017-12-15 22:55:42,327, DEBUG, exp id, 2, Step, 1, Minibatch Loss, 2.62539, Training Accuracy, 0.30078
2017-12-15 22:55:46,639, DEBUG, exp id, 4, Step, 1, Minibatch Loss, 3.52442, Training Accuracy, 0.37500
2017-12-15 22:55:46,936, DEBUG, exp id, 5, Step, 1, Minibatch Loss, 2.98828, Training Accuracy, 0.20312
2017-12-15 22:55:56,929, DEBUG, exp id, 1, Step, 1, Minibatch Loss, 4.02324, Training Accuracy, 0.30469
2017-12-15 22:55:57,626, DEBUG, exp id, 0, Step, 1, Minibatch Loss, 4.34355, Training Accuracy, 0.29688
2017-12-15 22:55:57,626, DEBUG, exp id, 3, Step, 1, Minibatch Loss, 3.21672, Training Accuracy, 0.33398
2017-12-15 22:55:59,927, DEBUG, exp id, 9, Step, 1, Minibatch Loss, 1.89694, Training Accuracy, 0.48438
2017-12-15 22:55:59,927, DEBUG, exp id, 8, Step, 1, Minibatch Loss, 4.35620, Training Accuracy, 0.26562
2017-12-15 22:56:00,026, DEBUG, exp id, 7, Step, 1, Minibatch Loss, 4.17979, Training Accuracy, 0.27344
2017-12-15 22:56:15,441, DEBUG, exp id, 6, Step, 100, Minibatch Loss, 0.94169, Training Accuracy, 0.62109
2017-12-15 22:56:19,731, DEBUG, exp id, 2, Step, 100, Minibatch Loss, 1.10319, Training Accuracy, 0.60156
2017-12-15 22:56:24,540, DEBUG, exp id, 5, Step, 100, Minibatch Loss, 0.86292, Training Accuracy, 0.67969
2017-12-15 22:56:25,737, DEBUG, exp id, 4, Step, 100, Minibatch Loss, 0.85613, Training Accuracy, 0.60938
2017-12-15 22:56:40,025, DEBUG, exp id, 0, Step, 100, Minibatch Loss, 1.12588, Training Accuracy, 0.67188
2017-12-15 22:56:40,433, DEBUG, exp id, 1, Step, 100, Minibatch Loss, 1.03307, Training Accuracy, 0.62500
2017-12-15 22:56:42,226, DEBUG, exp id, 9, Step, 100, Minibatch Loss, 0.82691, Training Accuracy, 0.67188
2017-12-15 22:56:42,526, DEBUG, exp id, 3, Step, 100, Minibatch Loss, 1.15616, Training Accuracy, 0.61133
2017-12-15 22:56:43,032, DEBUG, exp id, 8, Step, 100, Minibatch Loss, 0.73626, Training Accuracy, 0.68750
2017-12-15 22:56:46,025, DEBUG, exp id, 7, Step, 100, Minibatch Loss, 0.72857, Training Accuracy, 0.73438
2017-12-15 22:56:58,226, DEBUG, exp id, 6, Step, 200, Minibatch Loss, 0.83802, Training Accuracy, 0.71484
2017-12-15 22:57:02,526, DEBUG, exp id, 2, Step, 200, Minibatch Loss, 1.06029, Training Accuracy, 0.61719
